Precio sugerido,Producto,Producto_s_tilde,Provincia,Region,categoria,id_producto,marca,subcategoria
117.0,Choclo en Granos Amarillo La Campagnola 300 Gr,Choclo en Granos Amarillo La Campagnola 300 Gr,Neuquén,Patagonia,Conservas,7793360108426,La Campagnola,Conservas de Verdura y Legumbres
40.0,Choclo en Granos Amarillo Tipo Cremoso Inalpa 350 Gr,Choclo en Granos Amarillo Tipo Cremoso Inalpa 350 Gr,Neuquén,Patagonia,Conservas,7798153719919,Inalpa,Conservas de Verdura y Legumbres
154.0,Chocolate Aireado Hersheys 100 Gr,Chocolate Aireado Hersheys 100 Gr,Neuquén,Patagonia,Golosinas,7898292887798,Hersheys,Chocolates
32.0,Chocolate Biznikke Nevado 28 Gr,Chocolate Biznikke Nevado 28 Gr,Neuquén,Patagonia,Golosinas,77991430,Biznikke,Chocolates
99.0,Chocolate con Leche en Caja Kinder 50 Gr,Chocolate con Leche en Caja Kinder 50 Gr,Neuquén,Patagonia,Golosinas,80177609,Kinder,Chocolates
50.0,Chocolate con Leche Nugatón 27 Gr,Chocolate con Leche Nugaton 27 Gr,Neuquén,Patagonia,Golosinas,7792360072447,Nugatón,Chocolates
138.0,Chocolate con Leche Nugatón 3 Un 81 Gr,Chocolate con Leche Nugaton 3 Un 81 Gr,Neuquén,Patagonia,Golosinas,7792360072515,Nugatón,Chocolates
35.0,Chocolate con Leche y Galletitas Hamlet 45 Gr,Chocolate con Leche y Galletitas Hamlet 45 Gr,Neuquén,Patagonia,Golosinas,7794612065917,Hamlet,Chocolates
119.0,Chocolate con Maní Block Cofler 110 Gr,Chocolate con Mani Block Cofler 110 Gr,Neuquén,Patagonia,Golosinas,77922120,Cofler,Chocolates
72.0,Chocolate con Maní Block Cofler 38 Gr,Chocolate con Mani Block Cofler 38 Gr,Neuquén,Patagonia,Golosinas,77917706,Cofler,Chocolates
137.0,Chocolate con Maní Shot 90 Gr,Chocolate con Mani Shot 90 Gr,Neuquén,Patagonia,Golosinas,7791249451656,Shot,Chocolates
127.0,Chocolate de Leche con Maní Arcor 100 Gr,Chocolate de Leche con Mani Arcor 100 Gr,Neuquén,Patagonia,Golosinas,7790580003333,Arcor,Chocolates
