Precio sugerido,Producto,Producto_s_tilde,Provincia,Region,categoria,id_producto,marca,subcategoria
205.0,Café Selección Arlistán 100 Gr,Cafe Seleccion Arlistan 100 Gr,Misiones,NEA-NOA,Infusiones,7790070936493,Arlistán,Café
81.0,Caldo de Carne con Recetas Knorr 12 Un,Caldo de Carne con Recetas Knorr 12 Un,Misiones,NEA-NOA,"Sopas, Caldos y Puré",7794000597532,Knorr,Caldos
58.0,Caldo de Carne Wilde 12 Un 114 Gr,Caldo de Carne Wilde 12 Un 114 Gr,Misiones,NEA-NOA,"Sopas, Caldos y Puré",7794000597747,Wilde,Caldos
75.0,Caldo de Gallina con Recetas Knorr 12 Un,Caldo de Gallina con Recetas Knorr 12 Un,Misiones,NEA-NOA,"Sopas, Caldos y Puré",7794000597525,Knorr,Caldos
81.0,Caldo de Gallina Maggi 12 Un,Caldo de Gallina Maggi 12 Un,Misiones,NEA-NOA,"Sopas, Caldos y Puré",7891000105450,Maggi,Caldos
70.0,Caldo de Verduras con Recetas Knorr 12 Un,Caldo de Verduras con Recetas Knorr 12 Un,Misiones,NEA-NOA,"Sopas, Caldos y Puré",7794000597518,Knorr,Caldos
81.0,Caldo de Verduras Maggi 12 Un,Caldo de Verduras Maggi 12 Un,Misiones,NEA-NOA,"Sopas, Caldos y Puré",7891000105412,Maggi,Caldos
201.0,Capellettis Relleno Verdura con Vitamina E Giacomo Capelettini 500 Gr,Capellettis Relleno Verdura con Vitamina E Giacomo Capelettini 500 Gr,Misiones,NEA-NOA,Pastas y Tapas,7792390620120,Giacomo,Pastas Rellenas
94.0,Caramelos Masticable Surtidos Mogul 150 Gr,Caramelos Masticable Surtidos Mogul 150 Gr,Misiones,NEA-NOA,Golosinas,7790580101107,Mogul,Caramelos
97.0,Caramelos Rellenos Frutal Arcor 150 Gr,Caramelos Rellenos Frutal Arcor 150 Gr,Misiones,NEA-NOA,Golosinas,7790580470500,Arcor,Caramelos
135.0,Caramelos Super acidos Lipo 150 Gr,Caramelos Super acidos Lipo 150 Gr,Misiones,NEA-NOA,Golosinas,7793024000295,Lipo,Caramelos
161.0,Cepillo Dental Colgate 1 Un,Cepillo Dental Colgate 1 Un,Misiones,NEA-NOA,Cuidado Oral,7891024116128,Colgate,Cepillos Dentales
83.0,Cepillo Dental Doctor Kolynos 2 Un,Cepillo Dental Doctor Kolynos 2 Un,Misiones,NEA-NOA,Cuidado Oral,7891528091716,Kolynos,Cepillos Dentales
75.0,Cepillo Dental Oral B Classic 1 Un,Cepillo Dental Oral B Classic 1 Un,Misiones,NEA-NOA,Cuidado Oral,7702018652372,Oral B,Cepillos Dentales
159.0,Cereal Aros Froot Loops 195 Gr,Cereal Aros Froot Loops 195 Gr,Misiones,NEA-NOA,Cereales,7793306000401,Froot Loops,Cereales
103.0,Cerveza Rubia Chopp Brahma 1 Lt,Cerveza Rubia Chopp Brahma 1 Lt,Misiones,NEA-NOA,Cerveza,7792798007493,Brahma,Rubias
100.0,Cerveza Rubia Cristal Quilmes 1 Lt,Cerveza Rubia Cristal Quilmes 1 Lt,Misiones,NEA-NOA,Cerveza,7792798007387,Quilmes,Rubias
72.0,Cerveza Rubia en Lata Brahma 473 Cc,Cerveza Rubia en Lata Brahma 473 Cc,Misiones,NEA-NOA,Cerveza,7792798005888,Brahma,Rubias
56.0,Cerveza Rubia en Lata Quilmes 473 Cc,Cerveza Rubia en Lata Quilmes 473 Cc,Misiones,NEA-NOA,Cerveza,7792798012923,Quilmes,Rubias
73.0,Cerveza Rubia en Lata Schneider 473 Cc,Cerveza Rubia en Lata Schneider 473 Cc,Misiones,NEA-NOA,Cerveza,7793147118860,Schneider,Rubias
103.0,Cerveza Rubia en Lata Stella Artois 473 Cc,Cerveza Rubia en Lata Stella Artois 473 Cc,Misiones,NEA-NOA,Cerveza,7792798001293,Stella Artois,Rubias
125.0,Cerveza Rubia Retornable Budweiser 1 Lt,Cerveza Rubia Retornable Budweiser 1 Lt,Misiones,NEA-NOA,Cerveza,7793147001056,Budweiser,Rubias
140.0,Cerveza Rubia Retornable Heineken 1 Lt,Cerveza Rubia Retornable Heineken 1 Lt,Misiones,NEA-NOA,Cerveza,7793147000899,Heineken,Rubias
109.0,Cerveza Rubia Retornable Schneider 1 Lt,Cerveza Rubia Retornable Schneider 1 Lt,Misiones,NEA-NOA,Cerveza,7793147001025,Schneider,Rubias
160.0,Cerveza Rubia Stella Artois 970 Cc,Cerveza Rubia Stella Artois 970 Cc,Misiones,NEA-NOA,Cerveza,7792798006199,Stella Artois,Rubias
104.0,Chizitos Queso Cheetos 165 Gr,Chizitos Queso Cheetos 165 Gr,Misiones,NEA-NOA,Snacks,7790310006894,Cheetos,Mani/Palitos de Maíz/Palitos Salados
62.0,Choclo Amarillo Cremoso en Lata Arcor 300 Gr,Choclo Amarillo Cremoso en Lata Arcor 300 Gr,Misiones,NEA-NOA,Conservas,7790580980801,Arcor,Conservas de Verdura y Legumbres
45.0,Chocolate con Leche Nugatón 27 Gr,Chocolate con Leche Nugaton 27 Gr,Misiones,NEA-NOA,Golosinas,7792360072447,Nugatón,Chocolates
32.0,Chocolate con Leche y Galletitas Hamlet 45 Gr,Chocolate con Leche y Galletitas Hamlet 45 Gr,Misiones,NEA-NOA,Golosinas,7794612065917,Hamlet,Chocolates
122.0,Chocolate con Maní Shot 90 Gr,Chocolate con Mani Shot 90 Gr,Misiones,NEA-NOA,Golosinas,7791249451656,Shot,Chocolates
113.0,Chocolate de Leche con Maní Arcor 100 Gr,Chocolate de Leche con Mani Arcor 100 Gr,Misiones,NEA-NOA,Golosinas,7790580003333,Arcor,Chocolates
181.0,Chocolate para Taza Semiamargo aguila 150 Gr,Chocolate para Taza Semiamargo aguila 150 Gr,Misiones,NEA-NOA,Golosinas,7790407031273,aguila,Chocolates
56.0,Cif Crema con Microparticulas 375 Gr,Cif Crema con Microparticulas 375 Gr,Misiones,NEA-NOA,Limpieza de Cocina,7791290008007,Cif,Limpiadores de Cocina
95.0,Cif Crema con Microparticulas 750 Gr,Cif Crema con Microparticulas 750 Gr,Misiones,NEA-NOA,Limpieza de Cocina,7791290008441,Cif,Limpiadores de Cocina
95.0,Cif Crema Ultra Blanco 750 Gr,Cif Crema Ultra Blanco 750 Gr,Misiones,NEA-NOA,Limpieza de Baño,7791290010772,Cif,Desinfectantes de Baño
67.0,Cif Power Crema Baño Doypack 450 Ml,Cif Power Crema Baño Doypack 450 Ml,Misiones,NEA-NOA,Limpieza de Baño,7791290006829,Cif,Desinfectantes de Baño
100.0,Coca Cola 1.5 Lt,Coca Cola 1.5 Lt,Misiones,NEA-NOA,Gaseosas,7790895000430,Coca Cola,Gaseosa Cola
100.0,Coca Cola Light Sabor Liviano 1.5 Lt,Coca Cola Light Sabor Liviano 1.5 Lt,Misiones,NEA-NOA,Gaseosas,7790895001451,Coca Cola,Gaseosa Cola
140.0,Coca Cola Sabor Original 2.25 Lt,Coca Cola Sabor Original 2.25 Lt,Misiones,NEA-NOA,Gaseosas,7790895000997,Coca Cola,Gaseosa Cola
100.0,Coca Cola sin Azúcar 1.5 Lt,Coca Cola sin Azucar 1.5 Lt,Misiones,NEA-NOA,Gaseosas,7790895067556,Coca Cola,Gaseosa Cola
101.0,Copos de Maíz Naturales Granix 400 Gr,Copos de Maiz Naturales Granix 400 Gr,Misiones,NEA-NOA,Cereales,7790045001591,Granix,Cereales
206.0,Crema Corporal para Piel Normal en Botella Nivea Body Milk 250 Ml,Crema Corporal para Piel Normal en Botella Nivea Body Milk 250 Ml,Misiones,NEA-NOA,Cuidado Corporal,4005808352630,Nivea,Cremas Corporales
138.0,Crema de Leche Pasteurizada Milkaut 360 Cc,Crema de Leche Pasteurizada Milkaut 360 Cc,Misiones,NEA-NOA,Lácteos,7794820006337,Milkaut,Crema de Leche
